20260323,1438,三地開發,4000,0,202000,0
20260323,1439,雋揚,3000,0,82000,0
20260323,1440,南紡,241000,397000,8844000,0
20260323,1441,大東,0,0,0,0
20260323,1442,名軒,7000,0,1893000,0
20260323,1443,立益物流,0,1000,71000,0
20260323,1444,力麗,0,0,1718400,0
20260323,1445,大宇,0,0,173000,0
20260323,1446,宏和,11000,0,746000,0
20260323,1447,力鵬,0,0,0,0
20260323,1449,佳和,7000,131000,2428199,0
20260323,1451,年興,3000,0,398000,0
20260323,1452,宏益,10000,0,391000,0
20260323,1453,大將,7000,0,208480,0
20260323,1454,台富,1000,0,101000,0
20260323,1455,集盛,36000,145000,4371000,0
20260323,1456,怡華,2000,0,157000,0
20260323,1457,宜進,8000,7000,392850,0
20260323,1459,聯發,8000,0,189000,0
20260323,1460,宏遠,0,0,0,0
20260323,1463,強盛新,5000,0,420000,0
20260323,1464,得力,63000,0,2158000,0
20260323,1465,偉全,12000,0,207000,0
20260323,1466,聚隆,2000,0,879000,0
20260323,1467,南緯,1000,0,550000,0
20260323,1468,昶和,0,0,0,0
20260323,1470,大統新創,0,0,2000,0
20260323,1471,首利,0,0,0,0
20260323,1472,三洋實業,0,0,85236,0
20260323,1473,台南,1000,0,1075000,0
20260323,1474,弘裕,3000,0,252000,0
20260323,1475,業旺,0,0,121000,0
20260323,1476,儒鴻,32000,23000,2895000,0
20260323,1477,聚陽,475000,0,14789302,0
20260323,1503,士電,948000,75000,10756000,0
20260323,1504,東元,1373000,53000,77317687,0
20260323,1506,正道,0,0,0,0
20260323,1512,瑞利,0,0,0,0
20260323,1513,中興電,43000,99000,10056000,0
20260323,1514,亞力,48000,386000,8816618,0
20260323,1515,力山,21000,0,2052676,0
20260323,1516,川飛,0,0,0,0
20260323,1517,利奇,11000,13000,1917000,0
20260323,1519,華城,198000,204900,3449200,0
20260323,1521,大億,2000,0,129000,0
20260323,1522,堤維西,156000,15000,7247000,0
20260323,1524,耿鼎,4000,31000,9017000,0
20260323,1525,江申,0,0,49000,0
20260323,1526,日馳,11000,0,535000,0
20260323,1527,鑽全,90000,45000,2224000,0
20260323,1528,恩德,0,0,3715000,0
20260323,1529,樂事綠能,34000,19000,2433190,0
20260323,1530,亞崴,5000,0,173000,0
20260323,1531,高林股,5000,0,396000,0
